X,Y,Z
0.59,-0.34,0.23
-0.43,-0.87,0.12
0.15,-0.44,-0.1
0.0,-0.31,0.0
-0.34,-0.6,-0.5
1.32,0.12,-1.19
0.48,-0.26,-0.81
-0.01,-0.12,-0.03
0.18,0.2,0.2
-0.27,0.16,0.43
0.43,-0.09,-0.5
0.1,0.1,-0.5
-0.56,-0.14,0.26
0.27,-0.23,0.0
-0.26,-0.43,0.61
0.67,-0.38,-0.8300000000000001
-0.46,0.1,0.08
-0.04,0.44,-0.51
-0.13,-0.36,0.43
-0.97,-0.64,0.29
0.34,-0.41000000000000003,0.07
-0.23,-0.76,-0.5700000000000001
-0.52,-0.45,0.14
0.28,-0.37,-0.13
1.62,0.09,-0.53
-0.87,-1.21,0.42
-0.49,-0.89,-0.01
0.8,0.01,-0.15
-0.72,-0.71,0.22
0.11,-0.85,0.33
0.04,-0.55,-0.52
0.36,-0.25,0.02
-0.44,-0.77,-0.2
0.43,-0.26,-0.03
-0.6,-0.2,-0.25
0.26,-0.5,0.67
0.24,-0.51,-0.42
0.28,-0.29,0.04
-0.26,-0.32,-0.25
0.05,-0.43,0.16
-0.02,-0.42,0.13
0.21,-0.03,0.06
-0.06,-0.49,-0.1
0.31,-0.15,-0.42
-0.19,-0.19,0.31
0.1,-0.37,-0.11
-0.14,-0.33,-0.17
-0.02,-0.02,0.16
0.19,-0.16,-0.27
0.43,0.06,-0.07
-0.03,-0.19,0.01
-0.12,-0.2,0.53
-0.33,-0.32,0.16
0.33,-0.3,0.37
-0.13,-0.39,-0.76
0.3,-0.25,-0.05
-0.54,-0.46,-0.31
0.19,-0.24,0.46
0.0,-0.45,0.0
0.39,-0.5,-0.11
-0.48,-0.41000000000000003,-0.07
0.56,-0.37,-0.09
-0.04,-0.67,-0.12
-0.17,-0.28,-0.05
0.14,-0.16,-0.17
-0.06,-0.56,-0.05
0.31,-0.29,0.01
0.01,-0.25,-0.11
0.1,-0.34,0.09
-0.12,-0.21,-0.09
0.14,-0.33,0.07
0.0,-0.3,-0.05
0.07,-0.17,0.02
0.02,-0.2,-0.02
0.08,-0.11,0.03
0.02,-0.03,-0.03
0.06,0.11,0.03
0.06,0.15,0.0
0.12,-0.09,0.08
0.04,0.0,-0.03
0.05,0.13,0.01
0.02,-0.07,0.01
0.07,-0.01,0.0
0.09,0.1,0.05
0.02,0.04,0.05
0.02,0.02,-0.06
0.12,-0.01,0.06
0.05,-0.06,-0.01
0.04,0.02,0.03
0.06,0.08,-0.04
0.03,-0.21,0.0
0.11,0.05,-0.02
-0.03,0.26,-0.05
0.16,-0.11,0.06
0.1,-0.02,0.01
-0.03,0.2,-0.04
0.12,-0.22,0.03
-0.01,0.01,-0.03
0.11,None,0.02
0.14,-0.04,0.05
0.06,0.12,0.02
0.02,0.02,0.0
0.05,-0.11,-0.01
0.03,0.0,0.02
0.07,0.01,0.01
0.04,0.09,0.0
0.05,0.04,0.04
0.08,0.01,0.0
0.05,-0.01,0.0
0.06,0.01,0.0
